,label,text,source,chars,words,avg_wlen,puncs,uppers,titles,clean_text,clean_words,chars_c,words_c,avg_wlen_c,puncs_c,uppers_c,titles_c
13,1,Very good quality though,amazon,24,4,6.0,0,4,4,amazon good quality though,4,26,4,6.0,0,4,4
14,0,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",amazon,73,15,4.866666666666666,4,15,15,amazon design odd ear clip comfortable,6,38,6,4.866666666666666,0,6,6
15,1,Highly recommend for any one who has a blue tooth phone.,amazon,56,11,5.090909090909091,1,11,11,amazon highly recommend one blue tooth phone,7,44,7,5.090909090909091,0,7,7
16,0,I advise EVERYONE DO NOT BE FOOLED!,amazon,35,7,5.0,1,7,7,amazon advise everyone fooled,4,29,4,5.0,0,4,4
17,1,So Far So Good!.,amazon,16,4,4.0,2,4,4,amazon far good,3,15,3,4.0,0,3,3
18,1,Works great!.,amazon,13,2,6.5,2,2,2,amazon works great,3,18,3,6.5,0,3,3
19,0,It clicks into place in a way that makes you wonder how long that mechanism would last.,amazon,87,17,5.117647058823529,1,17,17,amazon clicks place way makes wonder long mechanism would last,10,62,10,5.117647058823529,0,10,10
20,0,"I went on Motorola's website and followed all directions, but could not get it to pair again.",amazon,93,17,5.470588235294118,3,17,17,amazon went motorola website followed directions could get pair,9,63,9,5.470588235294118,0,9,9
21,1,I bought this to use with my Kindle Fire and absolutely loved it!,amazon,65,13,5.0,1,13,13,amazon bought use kindle fire absolutely loved,7,46,7,5.0,0,7,7
22,0,The commercials are the most misleading.,amazon,40,6,6.666666666666667,1,6,6,amazon commercials misleading,3,29,3,6.666666666666667,0,3,3
23,1,I have yet to run this new battery below two bars and that's three days without charging.,amazon,89,17,5.235294117647059,2,17,17,amazon yet run new battery two bars three days without charging,11,63,11,5.235294117647059,0,11,11
24,0,I bought it for my mother and she had a problem with the battery.,amazon,65,14,4.642857142857143,1,14,14,amazon bought mother problem battery,5,36,5,4.642857142857143,0,5,5
25,1,Great Pocket PC / phone combination.,amazon,36,6,6.0,2,6,6,amazon great pocket pc phone combination,6,40,6,6.0,0,6,6
26,1,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,amazon,92,19,4.842105263157895,4,19,19,amazon owned phone 7 months say best mobile phone,9,49,9,4.842105263157895,0,9,9
27,0,I didn't think that the instructions provided were helpful to me.,amazon,65,11,5.909090909090909,2,11,11,amazon nt think instructions provided helpful,6,45,6,5.909090909090909,0,6,6
28,0,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,amazon,85,18,4.722222222222222,1,18,18,amazon people couldnt hear talk pull earphone talk phone,9,56,9,4.722222222222222,0,9,9
29,0,Doesn't hold charge.,amazon,20,3,6.666666666666667,2,3,3,amazon nt hold charge,4,21,4,6.666666666666667,0,4,4
30,0,"This is a simple little phone to use, but the breakage is unacceptible.",amazon,71,13,5.461538461538462,2,13,13,amazon simple little phone use breakage unacceptible,7,52,7,5.461538461538462,0,7,7
31,1,This product is ideal for people like me whose ears are very sensitive.,amazon,71,13,5.461538461538462,1,13,13,amazon product ideal people like whose ears sensitive,8,53,8,5.461538461538462,0,8,8
32,0,It is unusable in a moving car at freeway speed.,amazon,48,10,4.8,1,10,10,amazon unusable moving car freeway speed,6,40,6,4.8,0,6,6
33,0,I have two more years left in this contract and I hate this phone.,amazon,66,14,4.714285714285714,1,14,14,amazon two years left contract hate phone,7,41,7,4.714285714285714,0,7,7
34,1,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,amazon,104,19,5.473684210526316,1,19,19,amazon car charger well ac charger included make sure never run juice highy recommended,14,87,14,5.473684210526316,0,14,14
35,0,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,amazon,115,24,4.791666666666667,2,24,24,amazon need least 3 mins get phone book time first turn phone battery life short,15,80,15,4.791666666666667,0,15,15
36,1,It has kept up very well.,amazon,25,6,4.166666666666667,1,6,6,amazon kept well,3,16,3,4.166666666666667,0,3,3
37,0,Poor Talk Time Performance.,amazon,27,4,6.75,1,4,4,amazon poor talk time performance,5,33,5,6.75,0,5,5
38,1,The case is great and works fine with the 680.,amazon,46,10,4.6,1,10,10,amazon case great works fine 680,6,32,6,4.6,0,6,6
39,0,worthless product.,amazon,18,2,9.0,1,2,2,amazon worthless product,3,24,3,9.0,0,3,3
40,1,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",amazon,92,18,5.111111111111111,2,18,18,amazon great camera thats 2mp pics nice clear great picture quality,11,67,11,5.111111111111111,0,11,11
41,0,I was not impressed by this product.,amazon,36,7,5.142857142857143,1,7,7,amazon impressed product,3,24,3,5.142857142857143,0,3,3
42,1,Nice headset priced right.,amazon,26,4,6.5,1,4,4,amazon nice headset priced right,5,32,5,6.5,0,5,5
43,0,I only hear garbage for audio.,amazon,30,6,5.0,1,6,6,amazon hear garbage audio,4,25,4,5.0,0,4,4
44,1,Excellent bluetooth headset.,amazon,28,3,9.333333333333334,1,3,3,amazon excellent bluetooth headset,4,34,4,9.333333333333334,0,4,4
45,1,It has all the features I want,amazon,30,7,4.285714285714286,0,7,7,amazon features want,3,20,3,4.285714285714286,0,3,3
46,0,Who in their right mind is gonna buy this battery?.,amazon,51,10,5.1,2,10,10,amazon right mind gon na buy battery,7,36,7,5.1,0,7,7
47,0,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,amazon,93,15,6.2,1,15,15,amazon arguing verizon regarding dropped calls returned phones two days,10,71,10,6.2,0,10,10
48,1,This case seems well made.,amazon,26,5,5.2,1,5,5,amazon case seems well made,5,27,5,5.2,0,5,5
49,0,Disappointed with battery.,amazon,26,3,8.666666666666666,1,3,3,amazon disappointed battery,3,27,3,8.666666666666666,0,3,3
50,0,Not loud enough and doesn't turn on like it should.,amazon,51,10,5.1,2,10,10,amazon loud enough nt turn like,6,31,6,5.1,0,6,6
51,1,good protection and does not make phone too bulky.,amazon,50,9,5.555555555555555,1,9,9,amazon good protection make phone bulky,6,39,6,5.555555555555555,0,6,6
52,1,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,amazon,102,18,5.666666666666667,2,18,18,amazon usable keyboard actually turns pda realworld useful machine instead neat gadget,12,86,12,5.666666666666667,0,12,12
53,1,This phone is pretty sturdy and I've never had any large problems with it.,amazon,74,14,5.285714285714286,2,14,14,amazon phone pretty sturdy never large problems,7,47,7,5.285714285714286,0,7,7
54,1,I love this thing!,amazon,18,4,4.5,1,4,4,amazon love thing,3,17,3,4.5,0,3,3
55,1,Everything about it is fine and reasonable for the price i.e.,amazon,61,11,5.545454545454546,2,11,11,amazon everything fine reasonable price e,6,41,6,5.545454545454546,0,6,6
56,0,VERY DISAPPOINTED.,amazon,18,2,9.0,1,2,2,amazon disappointed,2,19,2,9.0,0,2,2
57,1,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,amazon,101,20,5.05,1,20,20,amazon even dropped phone stream submerged 15 seconds still works great,11,71,11,5.05,0,11,11
58,1,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,amazon,116,23,5.043478260869565,1,23,23,amazon happy 510 complaints one regarding sound quality end,9,59,9,5.043478260869565,0,9,9
59,0,The buttons for on and off are bad.,amazon,35,8,4.375,1,8,8,amazon buttons bad,3,18,3,4.375,0,3,3
60,0,Essentially you can forget Microsoft's tech support.,amazon,52,7,7.428571428571429,2,7,7,amazon essentially forget microsoft tech support,6,48,6,7.428571428571429,0,6,6
61,1,"I really recommend this faceplates since it looks very nice, elegant and cool.",amazon,78,13,6.0,2,13,13,amazon really recommend faceplates since looks nice elegant cool,9,64,9,6.0,0,9,9
62,1,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,amazon,132,25,5.28,4,25,25,amazon headphones great find think perhaps best purchase made last several years seriously,13,90,13,5.28,0,13,13
63,0,Buy a different phone - but not this.,amazon,37,8,4.625,2,8,8,amazon buy different phone,4,26,4,4.625,0,4,4
64,0,You have to hold the phone at a particular angle for the other party to hear you clearly.,amazon,89,18,4.944444444444445,1,18,18,amazon hold phone particular angle party hear clearly,8,53,8,4.944444444444445,0,8,8
65,0,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,amazon,149,30,4.966666666666667,2,30,30,amazon one big drawback mp3 player buttons phone front cover let pause skip songs lock seconds,16,94,16,4.966666666666667,0,16,16
66,0,"A week later after I activated it, it suddenly died.",amazon,52,10,5.2,2,10,10,amazon week later activated suddenly died,6,41,6,5.2,0,6,6
67,1,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,amazon,103,18,5.722222222222222,1,18,18,amazon feels comfortable headsets wear glasses gets way sometimes,9,65,9,5.722222222222222,0,9,9
68,1,Great for iPODs too.,amazon,20,4,5.0,1,4,4,amazon great ipods,3,18,3,5.0,0,3,3
69,1,This device is great in several situations:1.),amazon,46,7,6.571428571428571,3,7,7,amazon device great several situations1,5,39,5,6.571428571428571,0,5,5
70,0,Mic Doesn't work.,amazon,17,3,5.666666666666667,2,3,3,amazon mic nt work,4,18,4,5.666666666666667,0,4,4
71,0,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",amazon,102,20,5.1,2,20,20,amazon even bmw 3 series fairly quiet trouble hearing person saying,11,67,11,5.1,0,11,11
72,1,Great choice!,amazon,13,2,6.5,1,2,2,amazon great choice,3,19,3,6.5,0,3,3
73,1,Nice docking station for home or work.,amazon,38,7,5.428571428571429,1,7,7,amazon nice docking station home work,6,37,6,5.428571428571429,0,6,6
74,1,This is a beautiful phone.,amazon,26,5,5.2,1,5,5,amazon beautiful phone,3,22,3,5.2,0,3,3
75,1,Love this product.,amazon,18,3,6.0,1,3,3,amazon love product,3,19,3,6.0,0,3,3
76,0,Do Not Buy for D807...wrongly advertised for D807.,amazon,50,8,6.25,4,8,8,amazon buy d807 wrongly advertised d807,6,39,6,6.25,0,6,6
77,1,This is a great little item.,amazon,28,6,4.666666666666667,1,6,6,amazon great little item,4,24,4,4.666666666666667,0,4,4
78,1,"I love this phone , It is very handy and has a lot of features .",amazon,64,16,4.0,2,16,16,amazon love phone handy lot features,6,36,6,4.0,0,6,6
79,0,I purchased this and within 2 days it was no longer working!!!!!!!!!,amazon,68,12,5.666666666666667,9,12,12,amazon purchased within 2 days longer working,7,45,7,5.666666666666667,0,7,7
80,1,I wear it everyday and it holds up very well.,amazon,45,10,4.5,1,10,10,amazon wear everyday holds well,5,31,5,4.5,0,5,5
81,0,Not a good bargain.,amazon,19,4,4.75,1,4,4,amazon good bargain,3,19,3,4.75,0,3,3
82,1,"Well packaged, arrived on time, and works as intended.",amazon,54,9,6.0,3,9,9,amazon well packaged arrived time works intended,7,48,7,6.0,0,7,7
83,0,The battery runs down quickly.,amazon,30,5,6.0,1,5,5,amazon battery runs quickly,4,27,4,6.0,0,4,4
84,0,"This item worked great, but it broke after 6 months of use.",amazon,59,12,4.916666666666667,2,12,12,amazon item worked great broke 6 months use,8,43,8,4.916666666666667,0,8,8
85,1,The headsets are easy to use and everyone loves them.,amazon,53,10,5.3,1,10,10,amazon headsets easy use everyone loves,6,39,6,5.3,0,6,6
86,1,This phone works great.,amazon,23,4,5.75,1,4,4,amazon phone works great,4,24,4,5.75,0,4,4
87,0,The construction of the headsets is poor.,amazon,41,7,5.857142857142857,1,7,7,amazon construction headsets poor,4,33,4,5.857142857142857,0,4,4
88,1,Product was excellent and works better than the verizon one and Boy was it cheaper!,amazon,83,15,5.533333333333333,1,15,15,amazon product excellent works better verizon one boy cheaper,9,61,9,5.533333333333333,0,9,9
89,1,The phone loads super!,amazon,22,4,5.5,1,4,4,amazon phone loads super,4,24,4,5.5,0,4,4
90,0,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",amazon,125,26,4.8076923076923075,2,26,26,amazon product costs much one expect work far better greater ease thing,12,71,12,4.8076923076923075,0,12,12
91,1,Made very sturdy.,amazon,17,3,5.666666666666667,1,3,3,amazon made sturdy,3,18,3,5.666666666666667,0,3,3
92,1,Worked great!.,amazon,14,2,7.0,2,2,2,amazon worked great,3,19,3,7.0,0,3,3
93,0,The ear buds only play music in one ear.,amazon,40,9,4.444444444444445,1,9,9,amazon ear buds play music one ear,7,34,7,4.444444444444445,0,7,7
94,0,Dont waste your money...,amazon,24,4,6.0,3,4,4,amazon dont waste money,4,23,4,6.0,0,4,4
95,1,Will order from them again!,amazon,27,5,5.4,1,5,5,amazon order,2,12,2,5.4,0,2,2
96,0,If you plan to use this in a car forget about it.,amazon,49,12,4.083333333333333,1,12,12,amazon plan use car forget,5,26,5,4.083333333333333,0,5,5
97,0,I found this product to be waaay too big.,amazon,41,9,4.555555555555555,1,9,9,amazon found product waaay big,5,30,5,4.555555555555555,0,5,5
98,1,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,amazon,148,30,4.933333333333334,9,30,30,amazon best found far tried 2 bluetooths one best quality listener well ease using,14,82,14,4.933333333333334,0,14,14
99,0,I'm very disappointed with my decision.,amazon,39,6,6.5,2,6,6,amazon disappointed decision,3,28,3,6.5,0,3,3
100,1,Integrated seamlessly with the Motorola RAZR phone.,amazon,51,7,7.285714285714286,1,7,7,amazon integrated seamlessly motorola razr phone,6,48,6,7.285714285714286,0,6,6
101,0,"Buyer Beware, you could flush money right down the toilet.",amazon,58,10,5.8,2,10,10,amazon buyer beware could flush money right toilet,8,50,8,5.8,0,8,8
102,1,Definitely a bargain.,amazon,21,3,7.0,1,3,3,amazon definitely bargain,3,25,3,7.0,0,3,3
103,1,The price was very good and with the free shipping and all it was a good purchase.,amazon,82,17,4.823529411764706,1,17,17,amazon price good free shipping good purchase,7,45,7,4.823529411764706,0,7,7
104,0,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,amazon,113,20,5.65,1,20,20,amazon received supposedly new motorola 375 apparently match phone charger,10,74,10,5.65,0,10,10
105,1,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",amazon,93,17,5.470588235294118,6,17,17,amazon pros good camera nice pictures also cool styles like black white,12,71,12,5.470588235294118,0,12,12
106,0,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",amazon,95,18,5.277777777777778,7,18,18,amazon huge design flaw unless using correctly nt think case,10,60,10,5.277777777777778,0,10,10
107,1,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",amazon,130,24,5.416666666666667,4,24,24,amazon love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,14,97,14,5.416666666666667,0,14,14
108,0,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",amazon,146,22,6.636363636363637,4,22,22,amazon camera although rated impressive 1 3 megapixels renders images fall well expectations relatively high resolution,16,119,16,6.636363636363637,0,16,16
109,0,I purcashed this for the car charger and it does not work.,amazon,58,12,4.833333333333333,1,12,12,amazon purcashed car charger work,5,33,5,4.833333333333333,0,5,5
110,1,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",amazon,115,25,4.6,3,25,25,amazon sound quality end excellent use headset call wife ask wife use headset call 2,15,84,15,4.6,0,15,15
111,1,This phone is slim and light and the display is beautiful.,amazon,58,11,5.2727272727272725,1,11,11,amazon phone slim light display beautiful,6,41,6,5.2727272727272725,0,6,6
112,1,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,amazon,143,28,5.107142857142857,1,28,28,amazon little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,17,107,17,5.107142857142857,0,17,17
113,1,"Great product, fast shipping!.",amazon,30,4,7.5,3,4,4,amazon great product fast shipping,5,34,5,7.5,0,5,5
114,1,Absolutely great.,amazon,17,2,8.5,1,2,2,amazon absolutely great,3,23,3,8.5,0,3,3
115,1,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,amazon,95,17,5.588235294117647,1,17,17,amazon keyboard nice compromise full qwerty basic cell phone number keypad,11,74,11,5.588235294117647,0,11,11
116,0,i got this phone around the end of may and i'm completely unhappy with it.,amazon,74,15,4.933333333333334,2,15,15,amazon got phone around end may completely unhappy,8,50,8,4.933333333333334,0,8,8
117,1,It is very comfortable on the ear.,amazon,34,7,4.857142857142857,1,7,7,amazon comfortable ear,3,22,3,4.857142857142857,0,3,3
118,1,It has been a winner for us.,amazon,28,7,4.0,1,7,7,amazon winner us,3,16,3,4.0,0,3,3
119,1,)Setup couldn't have been simpler.,amazon,34,5,6.8,3,5,5,amazon setup could nt simpler,5,29,5,6.8,0,5,5
120,1,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,amazon,133,24,5.541666666666667,3,24,24,amazon tried several different earpieces cell phone jabra one first one found fits ear comfortably,15,98,15,5.541666666666667,0,15,15
121,0,Could not get strong enough signal.,amazon,35,6,5.833333333333333,1,6,6,amazon could get strong enough signal,6,37,6,5.833333333333333,0,6,6
122,1,Iam very pleased with my purchase.,amazon,34,6,5.666666666666667,1,6,6,amazon iam pleased purchase,4,27,4,5.666666666666667,0,4,4
123,0,Bad Quality.,amazon,12,2,6.0,1,2,2,amazon bad quality,3,18,3,6.0,0,3,3
124,1,Gets the job done.,amazon,18,4,4.5,1,4,4,amazon gets job done,4,20,4,4.5,0,4,4
125,1,Great audio!.,amazon,13,2,6.5,2,2,2,amazon great audio,3,18,3,6.5,0,3,3
126,0,Basically the service was very bad.,amazon,35,6,5.833333333333333,1,6,6,amazon basically service bad,4,28,4,5.833333333333333,0,4,4
127,0,it did not work in my cell phone plug i am very up set with the charger!.,amazon,73,17,4.294117647058823,2,17,17,amazon work cell phone plug set charger,7,39,7,4.294117647058823,0,7,7
128,1,"I've only had my bluetooth for a few weeks, but I really like it.",amazon,65,14,4.642857142857143,3,14,14,amazon bluetooth weeks really like,5,34,5,4.642857142857143,0,5,5
129,0,The BT headset was such a disapoinment.,amazon,39,7,5.571428571428571,1,7,7,amazon bt headset disapoinment,4,30,4,5.571428571428571,0,4,4
130,1,It is so small and you don't even realize that it is there after a while of getting used to it.,amazon,95,21,4.523809523809524,2,21,21,amazon small nt even realize getting used,7,41,7,4.523809523809524,0,7,7
131,1,The accompanied software is almost brilliant.,amazon,45,6,7.5,1,6,6,amazon accompanied software almost brilliant,5,44,5,7.5,0,5,5
132,1,Headset works great & was packaged nicely to avoid any damage.,amazon,62,11,5.636363636363637,2,11,11,amazon headset works great packaged nicely avoid damage,8,55,8,5.636363636363637,0,8,8
133,1,!I definitly recommend!!,amazon,24,3,8.0,3,3,3,amazon definitly recommend,3,26,3,8.0,0,3,3
134,0,Buyer--Be Very Careful!!!!!.,amazon,28,3,9.333333333333334,8,3,3,amazon buyer careful,3,20,3,9.333333333333334,0,3,3
135,0,The majority of the Logitech earbud headsets failed.,amazon,52,8,6.5,1,8,8,amazon majority logitech earbud headsets failed,6,47,6,6.5,0,6,6
136,1,Very good stuff for the price.,amazon,30,6,5.0,1,6,6,amazon good stuff price,4,23,4,5.0,0,4,4
137,1,My headset works just peachy-keen.,amazon,34,5,6.8,2,5,5,amazon headset works peachykeen,4,31,4,6.8,0,4,4
138,0,In my house I was getting dropped coverage upstairs and no coverage in my basement.,amazon,83,15,5.533333333333333,1,15,15,amazon house getting dropped coverage upstairs coverage basement,8,64,8,5.533333333333333,0,8,8
139,1,Voice recognition is tremendous!,amazon,32,4,8.0,1,4,4,amazon voice recognition tremendous,4,35,4,8.0,0,4,4
140,0,What a waste.,amazon,13,3,4.333333333333333,1,3,3,amazon waste,2,12,2,4.333333333333333,0,2,2
141,0,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",amazon,101,20,5.05,2,20,20,amazon several different 2 minute calls experienced 5 drops area 5 bars,12,71,12,5.05,0,12,12
142,0,I was not happy with this item.,amazon,31,7,4.428571428571429,1,7,7,amazon happy item,3,17,3,4.428571428571429,0,3,3
143,0,very disappointed.,amazon,18,2,9.0,1,2,2,amazon disappointed,2,19,2,9.0,0,2,2
144,0,The phone takes FOREVER to charge like 2 to 5 hours literally.,amazon,62,12,5.166666666666667,1,12,12,amazon phone takes forever charge like 2 5 hours literally,10,58,10,5.166666666666667,0,10,10
145,1,I got this phone on reccomendation from a relative and I'm glad I did.,amazon,70,14,5.0,2,14,14,amazon got phone reccomendation relative glad,6,45,6,5.0,0,6,6
146,0,What a waste of time!,amazon,21,5,4.2,1,5,5,amazon waste time,3,17,3,4.2,0,3,3
147,0,Its reception is very very poor.,amazon,32,6,5.333333333333333,1,6,6,amazon reception poor,3,21,3,5.333333333333333,0,3,3
148,0,Items stated as included from the description ARE NOT INCLUDED.,amazon,63,10,6.3,1,10,10,amazon items stated included description included,6,49,6,6.3,0,6,6
149,0,"After 3 months, screen just went black all of a sudden.",amazon,55,11,5.0,2,11,11,amazon 3 months screen went black sudden,7,40,7,5.0,0,7,7
150,0,I Was Hoping for More.,amazon,22,5,4.4,1,5,5,amazon hoping,2,13,2,4.4,0,2,2
151,0,"Audio Quality is poor, very poor.",amazon,33,6,5.5,2,6,6,amazon audio quality poor poor,5,30,5,5.5,0,5,5
152,1,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,amazon,82,14,5.857142857142857,1,14,14,amazon absolutely problem headset linking 8530 blackberry curve,8,63,8,5.857142857142857,0,8,8
153,1,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",amazon,121,21,5.761904761904762,5,21,21,amazon know sounds funny seemed like sketchy technology would nt work well well one works great,16,95,16,5.761904761904762,0,16,16
154,0,I've bought $5 wired headphones that sound better than these.,amazon,61,10,6.1,3,10,10,amazon bought 5 wired headphones sound better,7,45,7,6.1,0,7,7
155,1,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,amazon,132,23,5.739130434782608,1,23,23,amazon phone fast sending kind messages web browsing significantly faster previous phones used,13,94,13,5.739130434782608,0,13,13
156,1,"Nice quality build, unlike some cheap s*** out there.",amazon,53,9,5.888888888888889,5,9,9,amazon nice quality build unlike cheap,6,38,6,5.888888888888889,0,6,6
157,1,This item is fantastic and works perfectly!,amazon,43,7,6.142857142857143,1,7,7,amazon item fantastic works perfectly,5,37,5,6.142857142857143,0,5,5
158,1,And I just love the colors!,amazon,27,6,4.5,1,6,6,amazon love colors,3,18,3,4.5,0,3,3
159,1,W810i is just SUPERB.,amazon,21,4,5.25,1,4,4,amazon w810i superb,3,19,3,5.25,0,3,3
160,0,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",amazon,99,23,4.304347826086956,3,23,23,amazon whine internet goes use thing less like,8,46,8,4.304347826086956,0,8,8
161,1,Great charger.,amazon,14,2,7.0,1,2,2,amazon great charger,3,20,3,7.0,0,3,3
162,0,This is essentially a communications tool that does not communicate.,amazon,68,10,6.8,1,10,10,amazon essentially communications tool communicate,5,50,5,6.8,0,5,5
163,1,Works like a charm; it work the same as the one I got with the phone.,amazon,69,16,4.3125,2,16,16,amazon works like charm work one got phone,8,42,8,4.3125,0,8,8
164,0,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",amazon,132,22,6.0,4,22,22,amazon still maintain monkeys nt make headphones obviously nt share enough dna copy design humans,15,97,15,6.0,0,15,15
165,1,Great Value.,amazon,12,2,6.0,1,2,2,amazon great value,3,18,3,6.0,0,3,3
166,0,Doesn't work at all.. I bougth it for my L7c and its not working.,amazon,65,14,4.642857142857143,4,14,14,amazon nt work bougth l7c working,6,33,6,4.642857142857143,0,6,6
167,1,"The look of it is very sharp and the screen is nice and clear, with great graphics.",amazon,83,17,4.882352941176471,2,17,17,amazon look sharp screen nice clear great graphics,8,50,8,4.882352941176471,0,8,8
168,0,doesn't last long.,amazon,18,3,6.0,2,3,3,amazon nt last long,4,19,4,6.0,0,4,4
169,0,One thing I hate is the mode set button at the side.,amazon,52,12,4.333333333333333,1,12,12,amazon one thing hate mode set button side,8,42,8,4.333333333333333,0,8,8
170,1,EXCELLENT SERVICE!!!!!!!!.,amazon,26,2,13.0,9,2,2,amazon excellent service,3,24,3,13.0,0,3,3
171,0,Thank you for wasting my money.,amazon,31,6,5.166666666666667,1,6,6,amazon thank wasting money,4,26,4,5.166666666666667,0,4,4
172,0,How can that be?The audio quality is poor.,amazon,42,8,5.25,2,8,8,amazon audio quality poor,4,25,4,5.25,0,4,4
173,1,The iGo chargers and tips are really great.,amazon,43,8,5.375,1,8,8,amazon igo chargers tips really great,6,37,6,5.375,0,6,6
174,1,The file browser offers all the options that one needs.Handsfree is great.,amazon,74,12,6.166666666666667,2,12,12,amazon file browser offers options one needs handsfree great,9,60,9,6.166666666666667,0,9,9
175,1,Superb Phone on a Great Network.,amazon,32,6,5.333333333333333,1,6,6,amazon superb phone great network,5,33,5,5.333333333333333,0,5,5
176,1,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",amazon,135,25,5.4,5,25,25,amazon connected wife bluetooth motorola hs850 phone worked like charm whether phone pocket case,14,96,14,5.4,0,14,14
177,0,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",amazon,106,25,4.24,5,25,25,amazon put latest os v1 15g likes slow crawl lock every,11,55,11,4.24,0,11,11
178,0,It only recognizes the Phone as its storage device.,amazon,51,9,5.666666666666667,1,9,9,amazon recognizes phone storage device,5,38,5,5.666666666666667,0,5,5
